ID;Geslacht;LeeftijdOp31December;Perioden;Overledenen_1
410;T001038;10000;1978W132;1940
411;T001038;10000;1978W133;2001
412;T001038;10000;1978W134;1960
413;T001038;10000;1978W135;1931
414;T001038;10000;1978W136;2078
415;T001038;10000;1978W137;2026
416;T001038;10000;1978W138;2108
417;T001038;10000;1978W139;2036
418;T001038;10000;1978W140;2100
419;T001038;10000;1978W141;2164
420;T001038;10000;1978W142;2104
421;T001038;10000;1978W143;2081
422;T001038;10000;1978W144;2059
423;T001038;10000;1978W145;2135
424;T001038;10000;1978W146;2145
425;T001038;10000;1978W147;2133
426;T001038;10000;1978W148;2195
427;T001038;10000;1978W149;2337
428;T001038;10000;1978W150;2272
429;T001038;10000;1978W151;2363
430;T001038;10000;1978W152;2360
431;T001038;10000;1978JJ00;114415
432;T001038;10000;1979W101;2481
433;T001038;10000;1979W102;2352
434;T001038;10000;1979W103;2174
435;T001038;10000;1979W104;2238
436;T001038;10000;1979W105;2324
437;T001038;10000;1979W106;2194
438;T001038;10000;1979W107;2246
439;T001038;10000;1979W108;2216
440;T001038;10000;1979W109;2266
441;T001038;10000;1979W110;2335
442;T001038;10000;1979W111;2202
443;T001038;10000;1979W112;2164
444;T001038;10000;1979W113;2179
445;T001038;10000;1979W114;2258
446;T001038;10000;1979W115;2243
447;T001038;10000;1979W116;2183
448;T001038;10000;1979W117;2063
449;T001038;10000;1979W118;2145
450;T001038;10000;1979W119;2119
451;T001038;10000;1979W120;2259
452;T001038;10000;1979W121;2122
453;T001038;10000;1979W122;2142
454;T001038;10000;1979W123;2077
455;T001038;10000;1979W124;1997
456;T001038;10000;1979W125;2203
457;T001038;10000;1979W126;2063
458;T001038;10000;1979W127;2041
459;T001038;10000;1979W128;2080
460;T001038;10000;1979W129;1980
461;T001038;10000;1979W130;2071
462;T001038;10000;1979W131;1989
463;T001038;10000;1979W132;1901
464;T001038;10000;1979W133;1956
465;T001038;10000;1979W134;1988
466;T001038;10000;1979W135;2122
467;T001038;10000;1979W136;2102
468;T001038;10000;1979W137;2057
469;T001038;10000;1979W138;2107
470;T001038;10000;1979W139;2079
471;T001038;10000;1979W140;2103
472;T001038;10000;1979W141;2122
